Task,Start Time,End Time
Revise all 4 Q&A for CS301,2024-07-13 12:00:00,2024-07-13 13:00:00
Break,2024-07-13 13:00:00,2024-07-13 13:30:00
Learn from NeetCode,2024-07-13 13:30:00,2024-07-13 14:30:00
Break,2024-07-13 14:30:00,2024-07-13 15:00:00
Food and clean up,2024-07-13 15:00:00,2024-07-13 16:00:00
Practice NumPy and pandas,2024-07-13 16:00:00,2024-07-13 17:00:00
Break,2024-07-13 17:00:00,2024-07-13 17:30:00
Revise Ch1 Q&A,2024-07-13 17:30:00,2024-07-13 18:30:00
Play Valorant for 2 hours,2024-07-13 18:30:00,2024-07-13 20:30:00
Dinner,2024-07-13 20:30:00,2024-07-13 21:00:00
Work on Milestone Project 1,2024-07-13 21:00:00,2024-07-13 22:00:00
Break,2024-07-13 22:00:00,2024-07-13 22:30:00
Watch 1 lecture for CS350,2024-07-13 22:30:00,2024-07-13 23:30:00
Break,2024-07-13 23:30:00,2024-07-14 00:00:00
Start working on making the smart calendar system,2024-07-14 00:00:00,2024-07-14 01:00:00
